bin_center_ns,count
0.001,2041.0
0.003,40.0
0.005,40.0
0.007,37.0
0.009000000000000001,37.0
0.011,44.0
0.013000000000000001,46.0
0.015,33.0
0.017,34.0
0.019000000000000003,48.0
0.021,30.0
0.023,33.0
0.025,45.0
0.027000000000000003,34.0
0.029,34.0
0.031,41.0
0.033,53.0
0.035,54.0
0.037000000000000005,40.0
0.039,39.0
0.041,44.0
0.043000000000000003,41.0
0.045,53.0
0.047,34.0
0.049,54.0
0.051000000000000004,34.0
0.053000000000000005,48.0
0.055,63.0
0.057,36.0
0.059000000000000004,50.0
0.061,40.0
0.063,39.0
0.065,58.0
0.067,58.0
0.069,41.0
0.07100000000000001,53.0
0.07300000000000001,53.0
0.075,51.0
0.077,37.0
0.079,46.0
0.081,73.0
0.083,51.0
0.085,49.0
0.08700000000000001,44.0
0.089,49.0
0.091,76.0
0.093,57.0
0.095,53.0
0.097,67.0
0.099,53.0
0.101,41.0
0.10300000000000001,78.0
0.10500000000000001,63.0
0.107,65.0
0.109,59.0
0.111,49.0
0.113,72.0
0.115,68.0
0.117,56.0
0.11900000000000001,66.0
0.121,58.0
0.123,65.0
0.125,67.0
0.127,64.0
0.129,68.0
0.131,62.0
0.133,63.0
0.135,60.0
0.137,54.0
0.139,55.0
0.14100000000000001,58.0
0.14300000000000002,68.0
0.14500000000000002,68.0
0.147,82.0
0.149,70.0
0.151,62.0
0.153,83.0
0.155,62.0
0.157,69.0
0.159,74.0
0.161,80.0
0.163,84.0
0.165,84.0
0.167,78.0
0.169,73.0
0.171,70.0
0.17300000000000001,68.0
0.17500000000000002,72.0
0.177,71.0
0.179,95.0
0.181,68.0
0.183,71.0
0.185,71.0
0.187,77.0
0.189,78.0
0.191,88.0
0.193,85.0
0.195,77.0
0.197,75.0
0.199,90.0
0.201,80.0
0.203,88.0
0.20500000000000002,78.0
0.20700000000000002,85.0
0.20900000000000002,93.0
0.211,79.0
0.213,77.0
0.215,92.0
0.217,71.0
0.219,87.0
0.221,85.0
0.223,81.0
0.225,94.0
0.227,70.0
0.229,101.0
0.231,96.0
0.233,101.0
0.23500000000000001,85.0
0.23700000000000002,93.0
0.23900000000000002,80.0
0.241,100.0
0.243,91.0
0.245,104.0
0.247,92.0
0.249,88.0
0.251,89.0
0.253,93.0
0.255,101.0
0.257,87.0
0.259,92.0
0.261,103.0
0.263,91.0
0.265,81.0
0.267,96.0
0.269,106.0
0.271,110.0
0.273,118.0
0.275,106.0
0.277,99.0
0.279,100.0
0.281,109.0
0.28300000000000003,106.0
0.28500000000000003,100.0
0.28700000000000003,101.0
0.28900000000000003,113.0
0.291,104.0
0.293,105.0
0.295,100.0
0.297,77.0
