bin_center_ns,count
0.001,2051.0
0.003,61.0
0.005,64.0
0.007,55.0
0.009000000000000001,66.0
0.011,63.0
0.013000000000000001,66.0
0.015,57.0
0.017,69.0
0.019000000000000003,72.0
0.021,68.0
0.023,60.0
0.025,67.0
0.027000000000000003,65.0
0.029,83.0
0.031,52.0
0.033,63.0
0.035,74.0
0.037000000000000005,77.0
0.039,86.0
0.041,78.0
0.043000000000000003,96.0
0.045,74.0
0.047,78.0
0.049,79.0
0.051000000000000004,90.0
0.053000000000000005,96.0
0.055,74.0
0.057,92.0
0.059000000000000004,80.0
0.061,60.0
0.063,91.0
0.065,108.0
0.067,108.0
0.069,79.0
0.07100000000000001,97.0
0.07300000000000001,93.0
0.075,101.0
0.077,98.0
0.079,116.0
0.081,96.0
0.083,109.0
0.085,116.0
0.08700000000000001,107.0
0.089,121.0
0.091,96.0
0.093,114.0
0.095,115.0
0.097,109.0
0.099,122.0
0.101,101.0
0.10300000000000001,105.0
0.10500000000000001,121.0
0.107,122.0
0.109,123.0
0.111,115.0
0.113,110.0
0.115,123.0
0.117,137.0
0.11900000000000001,129.0
0.121,131.0
0.123,120.0
0.125,132.0
0.127,131.0
0.129,134.0
0.131,125.0
0.133,143.0
0.135,158.0
0.137,117.0
0.139,125.0
0.14100000000000001,144.0
0.14300000000000002,141.0
0.14500000000000002,160.0
0.147,139.0
0.149,163.0
0.151,169.0
0.153,131.0
0.155,154.0
0.157,144.0
0.159,123.0
0.161,163.0
0.163,169.0
0.165,155.0
0.167,161.0
0.169,168.0
0.171,138.0
0.17300000000000001,156.0
0.17500000000000002,157.0
0.177,155.0
0.179,142.0
0.181,163.0
0.183,146.0
0.185,155.0
0.187,164.0
0.189,156.0
0.191,159.0
0.193,152.0
0.195,174.0
0.197,170.0
0.199,160.0
0.201,172.0
0.203,169.0
0.20500000000000002,149.0
0.20700000000000002,162.0
0.20900000000000002,178.0
0.211,191.0
0.213,190.0
0.215,189.0
0.217,169.0
0.219,177.0
0.221,201.0
0.223,179.0
0.225,194.0
0.227,204.0
0.229,193.0
0.231,153.0
0.233,182.0
0.23500000000000001,177.0
0.23700000000000002,167.0
0.23900000000000002,187.0
0.241,199.0
0.243,200.0
0.245,187.0
0.247,183.0
0.249,200.0
0.251,175.0
0.253,182.0
0.255,185.0
0.257,207.0
0.259,184.0
0.261,176.0
0.263,201.0
0.265,185.0
0.267,198.0
0.269,183.0
0.271,230.0
0.273,178.0
0.275,199.0
0.277,207.0
0.279,201.0
0.281,186.0
0.28300000000000003,213.0
0.28500000000000003,205.0
0.28700000000000003,211.0
0.28900000000000003,211.0
0.291,209.0
0.293,248.0
0.295,215.0
0.297,203.0
0.299,207.0
0.301,207.0
0.303,216.0
0.305,197.0
0.307,208.0
0.309,204.0
0.311,210.0
0.313,236.0
0.315,214.0
0.317,230.0
0.319,241.0
0.321,211.0
0.323,206.0
0.325,234.0
0.327,231.0
0.329,227.0
0.331,211.0
0.333,239.0
0.335,237.0
0.337,234.0
0.339,217.0
0.341,239.0
0.343,247.0
0.34500000000000003,259.0
0.34700000000000003,223.0
0.34900000000000003,231.0
0.35100000000000003,264.0
0.353,255.0
0.355,227.0
0.357,252.0
0.359,209.0
0.361,237.0
0.363,253.0
0.365,237.0
0.367,221.0
0.369,221.0
0.371,208.0
0.373,247.0
0.375,259.0
0.377,232.0
0.379,227.0
0.381,258.0
0.383,232.0
0.385,225.0
0.387,238.0
0.389,238.0
0.391,249.0
0.393,268.0
0.395,246.0
0.397,283.0
0.399,256.0
0.401,258.0
0.403,250.0
0.405,248.0
0.40700000000000003,233.0
0.40900000000000003,244.0
0.41100000000000003,267.0
0.41300000000000003,255.0
0.41500000000000004,246.0
0.41700000000000004,244.0
0.419,255.0
0.421,256.0
0.423,239.0
0.425,288.0
0.427,243.0
0.429,277.0
0.431,282.0
0.433,288.0
0.435,266.0
0.437,250.0
0.439,260.0
0.441,252.0
0.443,281.0
0.445,255.0
0.447,240.0
0.449,264.0
0.451,269.0
0.453,291.0
0.455,283.0
0.457,280.0
0.459,281.0
0.461,295.0
0.463,305.0
0.465,267.0
0.467,322.0
0.46900000000000003,273.0
0.47100000000000003,307.0
0.47300000000000003,267.0
0.47500000000000003,280.0
0.47700000000000004,292.0
0.47900000000000004,292.0
0.481,286.0
0.483,284.0
0.485,283.0
0.487,283.0
0.489,285.0
0.491,278.0
