bin_center_ns,count
0.001,16567.0
0.003,10761.0
0.005,7874.0
0.007,6646.0
0.009000000000000001,5240.0
0.011,2260.0
0.013000000000000001,4876.0
0.015,5045.0
0.017,3791.0
0.019000000000000003,3199.0
0.021,3248.0
0.023,2761.0
0.025,2636.0
0.027000000000000003,2541.0
0.029,2295.0
0.031,2134.0
0.033,1323.0
0.035,769.0
0.037000000000000005,1604.0
0.039,2081.0
0.041,1833.0
0.043000000000000003,1435.0
0.045,1492.0
0.047,1483.0
0.049,1394.0
0.051000000000000004,1447.0
0.053000000000000005,1479.0
0.055,1313.0
0.057,1358.0
0.059000000000000004,1299.0
0.061,1016.0
0.063,646.0
0.065,712.0
0.067,1927.0
0.069,1342.0
0.07100000000000001,1202.0
0.07300000000000001,1085.0
0.075,1182.0
0.077,1123.0
0.079,1152.0
0.081,1120.0
0.083,1130.0
0.085,1086.0
0.08700000000000001,1095.0
0.089,1099.0
0.091,1003.0
0.093,829.0
0.095,794.0
0.097,1068.0
0.099,1528.0
0.101,1063.0
0.10300000000000001,1049.0
0.10500000000000001,1056.0
0.107,1146.0
0.109,1082.0
0.111,1120.0
0.113,1169.0
0.115,1179.0
0.117,1093.0
0.11900000000000001,1205.0
0.121,1134.0
0.123,1008.0
0.125,956.0
0.127,1130.0
0.129,1425.0
0.131,1187.0
0.133,1198.0
0.135,1158.0
0.137,1230.0
0.139,1214.0
0.14100000000000001,1186.0
0.14300000000000002,1231.0
0.14500000000000002,1273.0
0.147,1281.0
0.149,1279.0
0.151,1264.0
0.153,1301.0
0.155,1188.0
0.157,1191.0
0.159,1303.0
0.161,1602.0
0.163,1363.0
0.165,1371.0
0.167,1351.0
0.169,1423.0
0.171,1421.0
0.17300000000000001,1501.0
0.17500000000000002,1372.0
0.177,1439.0
0.179,1414.0
0.181,1542.0
0.183,1526.0
0.185,1529.0
0.187,1447.0
0.189,1486.0
0.191,1577.0
0.193,1578.0
0.195,1654.0
0.197,1593.0
0.199,1629.0
0.201,1630.0
0.203,1639.0
0.20500000000000002,1682.0
0.20700000000000002,1697.0
0.20900000000000002,1726.0
0.211,1646.0
0.213,1667.0
0.215,1750.0
0.217,1756.0
0.219,1683.0
0.221,1630.0
0.223,1820.0
0.225,1763.0
0.227,1769.0
0.229,1733.0
0.231,1805.0
0.233,1741.0
0.23500000000000001,1873.0
0.23700000000000002,1756.0
