bin_center_ns,count
0.001,2038.0
0.003,34.0
0.005,38.0
0.007,36.0
0.009000000000000001,40.0
0.011,44.0
0.013000000000000001,53.0
0.015,41.0
0.017,35.0
0.019000000000000003,38.0
0.021,49.0
0.023,49.0
0.025,37.0
0.027000000000000003,37.0
0.029,44.0
0.031,52.0
0.033,41.0
0.035,56.0
0.037000000000000005,44.0
0.039,43.0
0.041,51.0
0.043000000000000003,41.0
0.045,44.0
0.047,47.0
0.049,55.0
0.051000000000000004,50.0
0.053000000000000005,40.0
0.055,60.0
0.057,42.0
0.059000000000000004,53.0
0.061,51.0
0.063,42.0
0.065,45.0
0.067,57.0
0.069,57.0
0.07100000000000001,53.0
0.07300000000000001,58.0
0.075,64.0
0.077,47.0
0.079,44.0
0.081,49.0
0.083,58.0
0.085,59.0
0.08700000000000001,61.0
0.089,64.0
0.091,59.0
0.093,66.0
0.095,70.0
0.097,63.0
0.099,60.0
0.101,54.0
0.10300000000000001,61.0
0.10500000000000001,75.0
0.107,72.0
0.109,78.0
0.111,60.0
0.113,70.0
0.115,55.0
0.117,67.0
0.11900000000000001,71.0
0.121,75.0
0.123,66.0
0.125,76.0
0.127,71.0
0.129,74.0
0.131,68.0
0.133,52.0
0.135,84.0
0.137,62.0
0.139,63.0
0.14100000000000001,86.0
0.14300000000000002,74.0
0.14500000000000002,69.0
0.147,66.0
0.149,74.0
0.151,85.0
0.153,64.0
0.155,80.0
0.157,75.0
0.159,73.0
0.161,85.0
0.163,73.0
0.165,68.0
0.167,77.0
0.169,88.0
0.171,77.0
0.17300000000000001,89.0
0.17500000000000002,88.0
0.177,100.0
0.179,97.0
0.181,83.0
0.183,99.0
0.185,98.0
0.187,102.0
0.189,93.0
0.191,78.0
0.193,89.0
0.195,96.0
0.197,93.0
0.199,79.0
0.201,89.0
0.203,103.0
0.20500000000000002,82.0
0.20700000000000002,76.0
0.20900000000000002,80.0
0.211,111.0
0.213,72.0
0.215,98.0
0.217,90.0
0.219,88.0
0.221,95.0
0.223,85.0
0.225,99.0
0.227,97.0
0.229,103.0
0.231,86.0
0.233,104.0
0.23500000000000001,111.0
0.23700000000000002,98.0
0.23900000000000002,115.0
0.241,95.0
0.243,120.0
0.245,94.0
0.247,91.0
0.249,117.0
0.251,111.0
0.253,96.0
0.255,102.0
0.257,107.0
0.259,115.0
0.261,103.0
0.263,111.0
0.265,128.0
0.267,105.0
0.269,118.0
0.271,94.0
0.273,111.0
0.275,120.0
0.277,107.0
0.279,114.0
0.281,115.0
0.28300000000000003,122.0
0.28500000000000003,122.0
0.28700000000000003,96.0
0.28900000000000003,116.0
0.291,105.0
0.293,103.0
0.295,120.0
0.297,110.0
0.299,101.0
0.301,120.0
0.303,131.0
0.305,140.0
0.307,132.0
0.309,108.0
0.311,134.0
0.313,131.0
0.315,127.0
0.317,123.0
0.319,127.0
0.321,106.0
0.323,131.0
0.325,122.0
0.327,113.0
0.329,125.0
0.331,132.0
0.333,121.0
0.335,116.0
0.337,128.0
0.339,113.0
0.341,120.0
0.343,118.0
0.34500000000000003,130.0
0.34700000000000003,126.0
0.34900000000000003,116.0
0.35100000000000003,121.0
0.353,130.0
0.355,125.0
0.357,131.0
0.359,134.0
0.361,121.0
0.363,133.0
0.365,137.0
0.367,127.0
0.369,123.0
0.371,121.0
0.373,117.0
0.375,119.0
0.377,112.0
0.379,135.0
0.381,111.0
0.383,148.0
0.385,138.0
0.387,117.0
0.389,138.0
0.391,130.0
0.393,142.0
0.395,133.0
0.397,138.0
0.399,110.0
0.401,146.0
0.403,139.0
0.405,153.0
0.40700000000000003,137.0
0.40900000000000003,146.0
0.41100000000000003,151.0
0.41300000000000003,152.0
0.41500000000000004,136.0
0.41700000000000004,142.0
0.419,127.0
0.421,132.0
0.423,123.0
0.425,157.0
0.427,121.0
0.429,133.0
0.431,121.0
0.433,143.0
0.435,141.0
0.437,132.0
0.439,127.0
0.441,147.0
0.443,156.0
0.445,147.0
0.447,135.0
0.449,141.0
0.451,152.0
0.453,154.0
0.455,133.0
0.457,131.0
0.459,125.0
0.461,154.0
0.463,150.0
0.465,135.0
0.467,122.0
0.46900000000000003,143.0
0.47100000000000003,138.0
0.47300000000000003,150.0
0.47500000000000003,133.0
0.47700000000000004,125.0
0.47900000000000004,130.0
0.481,155.0
0.483,155.0
0.485,119.0
0.487,160.0
0.489,139.0
0.491,150.0
0.493,150.0
0.495,159.0
0.497,153.0
0.499,172.0
0.501,154.0
0.503,128.0
