bin_center_ns,count
0.001,2073.0
0.003,82.0
0.005,69.0
0.007,60.0
0.009000000000000001,57.0
0.011,68.0
0.013000000000000001,66.0
0.015,63.0
0.017,62.0
0.019000000000000003,91.0
0.021,61.0
0.023,76.0
0.025,71.0
0.027000000000000003,88.0
0.029,67.0
0.031,77.0
0.033,81.0
0.035,99.0
0.037000000000000005,83.0
0.039,97.0
0.041,98.0
0.043000000000000003,71.0
0.045,94.0
0.047,74.0
0.049,102.0
0.051000000000000004,83.0
0.053000000000000005,104.0
0.055,89.0
0.057,101.0
0.059000000000000004,99.0
0.061,109.0
0.063,117.0
0.065,102.0
0.067,109.0
0.069,97.0
0.07100000000000001,103.0
0.07300000000000001,97.0
0.075,107.0
0.077,103.0
0.079,97.0
0.081,100.0
0.083,112.0
0.085,99.0
0.08700000000000001,116.0
0.089,121.0
0.091,136.0
0.093,114.0
0.095,130.0
0.097,133.0
0.099,132.0
0.101,138.0
0.10300000000000001,135.0
0.10500000000000001,151.0
0.107,135.0
0.109,130.0
0.111,135.0
0.113,131.0
0.115,117.0
0.117,152.0
0.11900000000000001,151.0
0.121,141.0
0.123,119.0
0.125,134.0
0.127,157.0
0.129,148.0
0.131,162.0
0.133,135.0
0.135,152.0
0.137,137.0
0.139,155.0
0.14100000000000001,152.0
0.14300000000000002,153.0
0.14500000000000002,149.0
0.147,182.0
0.149,148.0
0.151,169.0
0.153,160.0
0.155,169.0
0.157,165.0
0.159,194.0
0.161,184.0
0.163,163.0
0.165,175.0
0.167,186.0
0.169,147.0
0.171,181.0
0.17300000000000001,192.0
0.17500000000000002,169.0
0.177,172.0
0.179,168.0
0.181,194.0
0.183,176.0
0.185,183.0
0.187,182.0
0.189,192.0
0.191,200.0
0.193,213.0
0.195,203.0
0.197,203.0
0.199,185.0
0.201,202.0
0.203,184.0
0.20500000000000002,215.0
0.20700000000000002,215.0
0.20900000000000002,220.0
0.211,225.0
0.213,196.0
0.215,216.0
0.217,211.0
0.219,206.0
0.221,208.0
0.223,191.0
0.225,198.0
0.227,247.0
0.229,201.0
0.231,217.0
0.233,190.0
0.23500000000000001,235.0
0.23700000000000002,229.0
0.23900000000000002,213.0
0.241,194.0
0.243,222.0
0.245,216.0
0.247,246.0
0.249,228.0
0.251,202.0
0.253,251.0
0.255,234.0
0.257,233.0
0.259,204.0
0.261,242.0
0.263,225.0
0.265,220.0
0.267,196.0
0.269,228.0
0.271,258.0
0.273,243.0
0.275,238.0
0.277,256.0
0.279,247.0
0.281,228.0
0.28300000000000003,207.0
0.28500000000000003,237.0
0.28700000000000003,262.0
0.28900000000000003,260.0
0.291,256.0
0.293,231.0
0.295,246.0
0.297,243.0
0.299,260.0
0.301,224.0
0.303,241.0
0.305,268.0
0.307,263.0
0.309,284.0
0.311,233.0
0.313,257.0
0.315,255.0
0.317,228.0
0.319,234.0
0.321,260.0
0.323,255.0
0.325,284.0
0.327,271.0
0.329,256.0
0.331,257.0
0.333,255.0
0.335,267.0
0.337,258.0
0.339,264.0
0.341,238.0
0.343,297.0
0.34500000000000003,266.0
0.34700000000000003,260.0
0.34900000000000003,284.0
0.35100000000000003,285.0
0.353,267.0
0.355,287.0
0.357,260.0
0.359,259.0
0.361,282.0
0.363,295.0
0.365,282.0
0.367,277.0
0.369,251.0
0.371,271.0
0.373,248.0
0.375,289.0
0.377,309.0
0.379,269.0
0.381,304.0
0.383,292.0
0.385,273.0
0.387,292.0
0.389,253.0
0.391,283.0
0.393,294.0
0.395,308.0
0.397,317.0
0.399,290.0
0.401,276.0
0.403,257.0
0.405,291.0
0.40700000000000003,323.0
0.40900000000000003,290.0
0.41100000000000003,310.0
0.41300000000000003,277.0
0.41500000000000004,309.0
0.41700000000000004,297.0
0.419,331.0
0.421,322.0
0.423,323.0
0.425,309.0
0.427,312.0
0.429,316.0
