x_mm,npe_L,npe_R,npe_weak,npe_mean,sigma_t_ps,sigma_t_err_ps,n_events,n_triggered,trigger_efficiency
-690,2925.9215,16.8295,16.8295,1471.3754999999999,406.24605862134973,26.63174885558831,2000,1911,0.9555
-670,2059.9305,17.7095,17.7095,1038.82,376.8731800093869,20.63357927055337,2000,1926,0.963
-650,1608.685,18.4525,18.4525,813.56875,339.3188014754601,20.724648845533935,2000,1950,0.975
-600,997.9815,20.1705,20.1705,509.07599999999996,334.24344411615465,17.196541676520887,2000,1983,0.9915
-550,700.092,22.3985,22.3985,361.24525,282.8536827931274,11.767260414839074,2000,1991,0.9955
-500,508.321,24.575,24.575,266.44800000000004,261.897978176681,11.501427624358191,2000,1997,0.9985
-450,388.992,26.9435,26.9435,207.96775000000002,236.26420163674467,10.07140102359199,2000,1999,0.9995
-400,306.75,30.093,30.093,168.4215,210.5729376385112,11.246169082056365,2000,2000,1.0
-350,248.741,33.454,33.454,141.0975,200.46175128903184,8.10437244646396,2000,2000,1.0
-300,200.308,36.736,36.736,118.52199999999999,196.14488929726005,5.672783831004637,2000,2000,1.0
-250,166.9065,41.078,41.078,103.99225,176.42369099492785,6.163218968621082,2000,2000,1.0
-200,141.544,46.6955,46.6955,94.11975000000001,157.16602507615093,5.3274829386512375,2000,2000,1.0
-150,120.502,52.7975,52.7975,86.64975,149.44844594731518,3.28590844887548,2000,2000,1.0
-100,102.495,59.409,59.409,80.952,152.71025218936637,4.712268097111344,2000,2000,1.0
-50,88.4305,67.263,67.263,77.84675,140.73048645480947,4.861873434842704,2000,2000,1.0
0,77.2185,77.023,77.023,77.12075,141.52232549627993,4.288808815923221,2000,2000,1.0
50,67.05,87.4485,67.05,77.24924999999999,140.7537007605826,5.331421537984191,2000,2000,1.0
100,59.029,102.0155,59.029,80.52225,147.74359694396674,4.623063497014639,2000,2000,1.0
150,52.105,119.3675,52.105,85.73625,144.87610074602227,4.61612889732974,2000,2000,1.0
200,46.6955,141.057,46.6955,93.87625,161.68574810706423,5.5871771218260795,2000,2000,1.0
250,41.344,166.8535,41.344,104.09875,164.46523662168553,6.470389285067702,2000,2000,1.0
300,36.7105,201.1805,36.7105,118.9455,191.88506083079253,7.739506619438053,2000,2000,1.0
350,33.195,246.2155,33.195,139.70525,189.099705746024,7.408813857073215,2000,2000,1.0
400,30.342,307.4115,30.342,168.87675,209.2853624278851,8.860690587376801,2000,2000,1.0
450,26.9185,387.8225,26.9185,207.3705,241.4666885405692,10.860102614880642,2000,1999,0.9995
500,24.411,507.485,24.411,265.948,257.4591492401956,10.033503328962993,2000,1995,0.9975
550,22.052,683.5745,22.052,352.81325,301.56930394649896,18.71884675404184,2000,1985,0.9925
600,19.981,986.1445,19.981,503.06275,325.37171508411024,18.11086483375185,2000,1972,0.986
650,18.107,1586.541,18.107,802.324,344.82004856839563,19.61553606505817,2000,1950,0.975
670,17.6975,2051.9025,17.6975,1034.8000000000002,369.2133154935044,19.900790264488258,2000,1941,0.9705
690,16.999,2914.281,16.999,1465.6399999999999,372.1189995102254,19.117182925922663,2000,1911,0.9555
