x_mm,npe_L,npe_R,npe_weak,npe_mean,sigma_t_ps,sigma_t_err_ps,n_events,n_triggered,trigger_efficiency
-690,2674.5515,11.4445,11.4445,1342.998,484.5802027032358,37.722788815090425,2000,1564,0.782
-670,1882.515,11.921,11.921,947.2180000000001,430.23010601165765,24.784692084357218,2000,1618,0.809
-650,1437.674,12.3635,12.3635,725.01875,403.3333896236482,22.77812491723571,2000,1662,0.831
-600,887.696,13.8625,13.8625,450.77925,385.5643955201798,25.418037045592303,2000,1818,0.909
-550,606.492,15.408,15.408,310.95,336.9125555648054,20.438487641548587,2000,1883,0.9415
-500,445.2345,17.14,17.14,231.18725,299.7629861374355,15.183341053435864,2000,1940,0.97
-450,331.171,19.083,19.083,175.127,252.4089586856778,11.195254338053912,2000,1976,0.988
-400,258.996,21.65,21.65,140.32299999999998,249.49489148547903,16.871291836872004,2000,1988,0.994
-350,205.1235,23.92,23.92,114.52175,215.76225812659283,7.602723742918499,2000,1994,0.997
-300,168.4295,27.3715,27.3715,97.9005,199.87721735286925,8.33905922151551,2000,1999,0.9995
-250,137.736,30.6435,30.6435,84.18974999999999,184.6128815178185,5.538357392269991,2000,2000,1.0
-200,114.532,34.7955,34.7955,74.66375,172.41241106219698,7.4940298558013385,2000,2000,1.0
-150,97.631,40.1685,40.1685,68.89975,149.82749494047638,3.544963004502057,2000,2000,1.0
-100,82.1635,45.185,45.185,63.67425,142.9838996418577,5.2833054413522245,2000,2000,1.0
-50,69.9605,52.0555,52.0555,61.007999999999996,139.30329675924693,5.008872782198468,2000,2000,1.0
0,60.102,59.941,59.941,60.0215,140.20045935355455,3.812605990797947,2000,2000,1.0
50,52.3915,70.53,52.3915,61.460750000000004,139.2226203455603,4.3697766545727,2000,2000,1.0
100,45.3655,81.578,45.3655,63.47175,151.08219674056917,5.151552159254118,2000,2000,1.0
150,39.499,96.523,39.499,68.011,148.8519186834745,6.195314241435628,2000,2000,1.0
200,35.657,117.036,35.657,76.34649999999999,164.68707647162995,5.6887075703615535,2000,2000,1.0
250,30.79,138.0465,30.79,84.41825,169.70638064792755,7.984481652609846,2000,2000,1.0
300,27.1965,167.8835,27.1965,97.53999999999999,200.19783712721437,8.646867733052153,2000,1999,0.9995
350,23.998,206.0525,23.998,115.02525,218.1624993996647,9.847132512821386,2000,1996,0.998
400,21.349,258.677,21.349,140.013,243.85800106770185,12.894439439388444,2000,1989,0.9945
450,19.126,330.608,19.126,174.867,264.9293653856864,14.762413301833764,2000,1961,0.9805
500,17.216,443.502,17.216,230.359,296.3845416565339,17.809787043633207,2000,1937,0.9685
550,15.253,604.562,15.253,309.9075,331.9969325870833,17.28914944248351,2000,1884,0.942
600,13.881,883.9765,13.881,448.92875,369.7960987140749,27.119603688337158,2000,1774,0.887
650,12.4775,1448.999,12.4775,730.73825,410.3501831244705,26.757288456994207,2000,1661,0.8305
670,11.9805,1878.0805,11.9805,945.0305,455.45013438494453,40.946366694793255,2000,1623,0.8115
690,11.5825,2666.536,11.5825,1339.05925,434.0168874173342,30.693839789470733,2000,1569,0.7845
