x_mm,n_events,nearest_sipm_id,mean_npe_top_total,mean_npe_top_nearest,frac_T4,mean_npe_top_T4,frac_T20,mean_npe_top_T20
-690,2000,16,2639.7485,350.947,1.0,2639.7485,1.0,2639.7485
-670,2000,17,2946.884,350.4175,1.0,2946.884,1.0,2946.884
-650,2000,18,3200.202,351.045,1.0,3200.202,1.0,3200.202
-600,2000,21,3589.4905,408.036,1.0,3589.4905,1.0,3589.4905
-550,2000,23,3884.6115,352.9395,1.0,3884.6115,1.0,3884.6115
-500,2000,26,4052.7435,410.9195,1.0,4052.7435,1.0,4052.7435
-450,2000,28,4136.274,345.8175,1.0,4136.274,1.0,4136.274
-400,2000,31,4283.973,411.2795,1.0,4283.973,1.0,4283.973
-350,2000,33,4358.6525,349.2775,1.0,4358.6525,1.0,4358.6525
-300,2000,36,4447.3685,413.7045,1.0,4447.3685,1.0,4447.3685
-250,2000,38,4487.6635,352.181,1.0,4487.6635,1.0,4487.6635
-200,2000,41,4514.047,412.4565,1.0,4514.047,1.0,4514.047
-150,2000,43,4522.003,350.7595,1.0,4522.003,1.0,4522.003
-100,2000,46,4538.767,410.976,1.0,4538.767,1.0,4538.767
-50,2000,48,4556.205,351.9775,1.0,4556.205,1.0,4556.205
0,2000,50,4476.2865,406.557,1.0,4476.2865,1.0,4476.2865
50,2000,53,4519.5435,348.7725,1.0,4519.5435,1.0,4519.5435
100,2000,55,4563.713,412.8295,1.0,4563.713,1.0,4563.713
150,2000,58,4543.6495,352.142,1.0,4543.6495,1.0,4543.6495
200,2000,60,4523.503,413.3275,1.0,4523.503,1.0,4523.503
250,2000,63,4492.3945,352.9655,1.0,4492.3945,1.0,4492.3945
300,2000,65,4405.264,408.7415,1.0,4405.264,1.0,4405.264
350,2000,68,4359.5535,349.846,1.0,4359.5535,1.0,4359.5535
400,2000,70,4298.1345,411.3565,1.0,4298.1345,1.0,4298.1345
450,2000,73,4195.836,352.1785,1.0,4195.836,1.0,4195.836
500,2000,75,4046.723,410.5435,1.0,4046.723,1.0,4046.723
550,2000,78,3886.0915,352.3465,1.0,3886.0915,1.0,3886.0915
600,2000,80,3620.9805,411.6045,1.0,3620.9805,1.0,3620.9805
650,2000,83,3191.791,350.8695,1.0,3191.791,1.0,3191.791
670,2000,84,2943.9135,350.2005,1.0,2943.9135,1.0,2943.9135
690,2000,85,2657.9545,352.9845,1.0,2657.9545,1.0,2657.9545
