x_mm,ch_id,ch_pos_mm,n,mean_tn_ns,rms_tn_ns,stat_floor_ns,mean_npe
-690,16,-692.0,1,0.342780,0.010086,0.005129,350.9470
-690,16,-692.0,2,0.346274,0.017991,0.007253,350.9470
-690,16,-692.0,3,0.354349,0.035836,0.008884,350.9470
-690,16,-692.0,4,0.367786,0.052206,0.010258,350.9470
-690,16,-692.0,5,0.391805,0.070733,0.011469,350.9470
-690,16,-692.0,6,0.420281,0.084468,0.012563,350.9470
-690,16,-692.0,7,0.452442,0.092222,0.013570,350.9470
-690,16,-692.0,8,0.482821,0.094023,0.014507,350.9470
-690,16,-692.0,9,0.513152,0.090678,0.015387,350.9470
-690,16,-692.0,10,0.539689,0.087280,0.016219,350.9470
-690,16,-692.0,11,0.562615,0.082800,0.017011,350.9470
-690,16,-692.0,12,0.585220,0.078898,0.017767,350.9470
-690,16,-692.0,13,0.605166,0.077348,0.018493,350.9470
-690,16,-692.0,14,0.623105,0.076655,0.019191,350.9470
-690,16,-692.0,15,0.641644,0.076797,0.019864,350.9470
-690,16,-692.0,16,0.657766,0.077007,0.020516,350.9470
-690,16,-692.0,17,0.673780,0.077611,0.021147,350.9470
-690,16,-692.0,18,0.689220,0.078645,0.021760,350.9470
-690,16,-692.0,19,0.704714,0.080275,0.022357,350.9470
-690,16,-692.0,20,0.719814,0.081036,0.022937,350.9470
-690,17,-672.0,1,0.362838,0.013782,0.004685,384.2285
-690,17,-672.0,2,0.371926,0.032082,0.006625,384.2285
-690,17,-672.0,3,0.388648,0.052875,0.008114,384.2285
-690,17,-672.0,4,0.418182,0.075105,0.009369,384.2285
-690,17,-672.0,5,0.452848,0.089548,0.010475,384.2285
-690,17,-672.0,6,0.490836,0.094332,0.011475,384.2285
-690,17,-672.0,7,0.527310,0.092670,0.012395,384.2285
-690,17,-672.0,8,0.560078,0.086171,0.013250,384.2285
-690,17,-672.0,9,0.587995,0.081771,0.014054,384.2285
-690,17,-672.0,10,0.612059,0.079291,0.014814,384.2285
-690,17,-672.0,11,0.634573,0.077250,0.015537,384.2285
-690,17,-672.0,12,0.656156,0.076927,0.016228,384.2285
-690,17,-672.0,13,0.677163,0.077783,0.016891,384.2285
-690,17,-672.0,14,0.696438,0.079080,0.017529,384.2285
-690,17,-672.0,15,0.715148,0.080914,0.018144,384.2285
-690,17,-672.0,16,0.733447,0.082983,0.018739,384.2285
-690,17,-672.0,17,0.752073,0.084145,0.019316,384.2285
-690,17,-672.0,18,0.768787,0.084658,0.019876,384.2285
-690,17,-672.0,19,0.785375,0.084516,0.020420,384.2285
-690,17,-672.0,20,0.801013,0.084895,0.020951,384.2285
-690,18,-652.0,1,0.427046,0.036212,0.006877,261.7440
-690,18,-652.0,2,0.459763,0.071154,0.009725,261.7440
-690,18,-652.0,3,0.506716,0.094808,0.011911,261.7440
-690,18,-652.0,4,0.557981,0.102939,0.013754,261.7440
-690,18,-652.0,5,0.606246,0.101822,0.015377,261.7440
-690,18,-652.0,6,0.645642,0.097439,0.016845,261.7440
-690,18,-652.0,7,0.681700,0.095757,0.018195,261.7440
-690,18,-652.0,8,0.714096,0.094651,0.019451,261.7440
-690,18,-652.0,9,0.744512,0.096042,0.020631,261.7440
-690,18,-652.0,10,0.774536,0.097723,0.021747,261.7440
-690,18,-652.0,11,0.801810,0.097719,0.022808,261.7440
-690,18,-652.0,12,0.827591,0.097660,0.023822,261.7440
-690,18,-652.0,13,0.852094,0.096864,0.024795,261.7440
-690,18,-652.0,14,0.876073,0.097524,0.025731,261.7440
-690,18,-652.0,15,0.898160,0.098143,0.026634,261.7440
-690,18,-652.0,16,0.919767,0.099348,0.027508,261.7440
-690,18,-652.0,17,0.940874,0.100971,0.028354,261.7440
-690,18,-652.0,18,0.961157,0.103070,0.029176,261.7440
-690,18,-652.0,19,0.981649,0.104832,0.029976,261.7440
-690,18,-652.0,20,1.001979,0.107002,0.030755,261.7440
-690,19,-632.0,1,0.522469,0.065957,0.008560,210.2750
-690,19,-632.0,2,0.587400,0.099953,0.012106,210.2750
-690,19,-632.0,3,0.653950,0.110150,0.014827,210.2750
-690,19,-632.0,4,0.712298,0.108810,0.017120,210.2750
-690,19,-632.0,5,0.761178,0.108470,0.019141,210.2750
-690,19,-632.0,6,0.806394,0.108921,0.020968,210.2750
-690,19,-632.0,7,0.847012,0.108852,0.022648,210.2750
-690,19,-632.0,8,0.884243,0.106988,0.024212,210.2750
-690,19,-632.0,9,0.919353,0.105380,0.025681,210.2750
-690,19,-632.0,10,0.950540,0.106746,0.027070,210.2750
-690,19,-632.0,11,0.979545,0.107057,0.028391,210.2750
-690,19,-632.0,12,1.008153,0.108781,0.029653,210.2750
-690,19,-632.0,13,1.036705,0.110257,0.030864,210.2750
-690,19,-632.0,14,1.063098,0.111219,0.032029,210.2750
-690,19,-632.0,15,1.089562,0.112438,0.033154,210.2750
-690,19,-632.0,16,1.114727,0.113481,0.034241,210.2750
-690,19,-632.0,17,1.138875,0.115570,0.035295,210.2750
-690,19,-632.0,18,1.162692,0.117437,0.036318,210.2750
-690,19,-632.0,19,1.186116,0.118832,0.037313,210.2750
-690,19,-632.0,20,1.207711,0.120431,0.038282,210.2750
-690,20,-612.0,1,0.627362,0.086862,0.011566,155.6260
-690,20,-612.0,2,0.711137,0.112368,0.016357,155.6260
-690,20,-612.0,3,0.788205,0.122636,0.020033,155.6260
-690,20,-612.0,4,0.855641,0.128140,0.023132,155.6260
-690,20,-612.0,5,0.917377,0.131463,0.025863,155.6260
-690,20,-612.0,6,0.972248,0.131540,0.028331,155.6260
-690,20,-612.0,7,1.020644,0.130549,0.030601,155.6260
-690,20,-612.0,8,1.065045,0.130176,0.032714,155.6260
-690,20,-612.0,9,1.106981,0.129503,0.034699,155.6260
-690,20,-612.0,10,1.144741,0.130842,0.036576,155.6260
-690,20,-612.0,11,1.181748,0.132778,0.038361,155.6260
-690,20,-612.0,12,1.215550,0.133980,0.040066,155.6260
-690,20,-612.0,13,1.249859,0.138129,0.041702,155.6260
-690,20,-612.0,14,1.281384,0.141034,0.043277,155.6260
-690,20,-612.0,15,1.314301,0.142957,0.044796,155.6260
-690,20,-612.0,16,1.345081,0.145681,0.046265,155.6260
-690,20,-612.0,17,1.375067,0.147665,0.047689,155.6260
-690,20,-612.0,18,1.403482,0.150070,0.049071,155.6260
-690,20,-612.0,19,1.431882,0.152364,0.050416,155.6260
-690,20,-612.0,20,1.460042,0.155232,0.051726,155.6260
-690,21,-592.0,1,0.732873,0.107686,0.014646,122.8975
-690,21,-592.0,2,0.835072,0.133616,0.020713,122.8975
-690,21,-592.0,3,0.921500,0.143805,0.025368,122.8975
-690,21,-592.0,4,1.000542,0.145182,0.029293,122.8975
-690,21,-592.0,5,1.068266,0.145354,0.032750,122.8975
-690,21,-592.0,6,1.128521,0.143614,0.035876,122.8975
-690,21,-592.0,7,1.181922,0.144127,0.038751,122.8975
-690,21,-592.0,8,1.229621,0.144525,0.041426,122.8975
-690,21,-592.0,9,1.276061,0.146208,0.043939,122.8975
-690,21,-592.0,10,1.321488,0.148406,0.046316,122.8975
-690,21,-592.0,11,1.361028,0.149022,0.048576,122.8975
-690,21,-592.0,12,1.401787,0.152753,0.050736,122.8975
-690,21,-592.0,13,1.441860,0.157280,0.052808,122.8975
-690,21,-592.0,14,1.480175,0.160150,0.054802,122.8975
-690,21,-592.0,15,1.515377,0.163572,0.056725,122.8975
-690,21,-592.0,16,1.550623,0.167494,0.058585,122.8975
-690,21,-592.0,17,1.585315,0.171536,0.060388,122.8975
-690,21,-592.0,18,1.618622,0.174298,0.062139,122.8975
-690,21,-592.0,19,1.651569,0.178831,0.063842,122.8975
-690,21,-592.0,20,1.684595,0.181834,0.065500,122.8975
-690,22,-572.0,1,0.830189,0.112642,0.013898,129.5195
-690,22,-572.0,2,0.933006,0.129366,0.019654,129.5195
-690,22,-572.0,3,1.017740,0.132553,0.024071,129.5195
-690,22,-572.0,4,1.091054,0.135899,0.027795,129.5195
-690,22,-572.0,5,1.156109,0.136057,0.031076,129.5195
-690,22,-572.0,6,1.213074,0.136743,0.034042,129.5195
-690,22,-572.0,7,1.264762,0.138265,0.036769,129.5195
-690,22,-572.0,8,1.312864,0.139484,0.039308,129.5195
-690,22,-572.0,9,1.357016,0.142828,0.041693,129.5195
-690,22,-572.0,10,1.399839,0.144912,0.043948,129.5195
-690,22,-572.0,11,1.440277,0.147282,0.046093,129.5195
-690,22,-572.0,12,1.479089,0.149804,0.048142,129.5195
-690,22,-572.0,13,1.518233,0.153201,0.050108,129.5195
-690,22,-572.0,14,1.555398,0.155377,0.052000,129.5195
-690,22,-572.0,15,1.592553,0.159493,0.053825,129.5195
-690,22,-572.0,16,1.627321,0.163848,0.055590,129.5195
-690,22,-572.0,17,1.660321,0.167300,0.057301,129.5195
-690,22,-572.0,18,1.693936,0.169604,0.058962,129.5195
-690,22,-572.0,19,1.727053,0.173943,0.060578,129.5195
-690,22,-572.0,20,1.759265,0.177390,0.062152,129.5195
-690,23,-552.0,1,0.927561,0.120847,0.020556,87.5645
-690,23,-552.0,2,1.046698,0.144537,0.029071,87.5645
-690,23,-552.0,3,1.147100,0.155538,0.035605,87.5645
-690,23,-552.0,4,1.228406,0.161752,0.041113,87.5645
-690,23,-552.0,5,1.302408,0.166526,0.045965,87.5645
-690,23,-552.0,6,1.370612,0.172544,0.050352,87.5645
-690,23,-552.0,7,1.434496,0.177119,0.054387,87.5645
-690,23,-552.0,8,1.494622,0.183794,0.058142,87.5645
-690,23,-552.0,9,1.552913,0.186668,0.061669,87.5645
-690,23,-552.0,10,1.605659,0.193066,0.065005,87.5645
-690,23,-552.0,11,1.657677,0.198622,0.068177,87.5645
-690,23,-552.0,12,1.709536,0.204166,0.071209,87.5645
-690,23,-552.0,13,1.758910,0.210267,0.074117,87.5645
