x_mm,ch_id,ch_pos_mm,n,mean_tn_ns,rms_tn_ns,stat_floor_ns,mean_npe
-690,16,-692.0,1,0.342375,0.005545,0.004707,318.6865
-690,16,-692.0,2,0.345387,0.013905,0.006656,318.6865
-690,16,-692.0,3,0.351437,0.027539,0.008152,318.6865
-690,16,-692.0,4,0.363809,0.044009,0.009414,318.6865
-690,16,-692.0,5,0.383766,0.060395,0.010525,318.6865
-690,16,-692.0,6,0.408555,0.072338,0.011529,318.6865
-690,16,-692.0,7,0.436067,0.079004,0.012453,318.6865
-690,16,-692.0,8,0.463777,0.080749,0.013313,318.6865
-690,16,-692.0,9,0.489701,0.080047,0.014120,318.6865
-690,16,-692.0,10,0.512826,0.076983,0.014884,318.6865
-690,16,-692.0,11,0.534130,0.072821,0.015611,318.6865
-690,16,-692.0,12,0.552900,0.070586,0.016305,318.6865
-690,16,-692.0,13,0.569867,0.068466,0.016971,318.6865
-690,16,-692.0,14,0.585645,0.066535,0.017611,318.6865
-690,16,-692.0,15,0.599660,0.066001,0.018229,318.6865
-690,16,-692.0,16,0.613813,0.065838,0.018827,318.6865
-690,16,-692.0,17,0.626406,0.066343,0.019407,318.6865
-690,16,-692.0,18,0.639573,0.067191,0.019969,318.6865
-690,16,-692.0,19,0.652599,0.068212,0.020517,318.6865
-690,16,-692.0,20,0.665239,0.069164,0.021050,318.6865
-690,17,-672.0,1,0.362459,0.011928,0.004364,343.7315
-690,17,-672.0,2,0.371193,0.029041,0.006171,343.7315
-690,17,-672.0,3,0.386368,0.048792,0.007558,343.7315
-690,17,-672.0,4,0.408138,0.065039,0.008728,343.7315
-690,17,-672.0,5,0.437327,0.077733,0.009758,343.7315
-690,17,-672.0,6,0.469110,0.084173,0.010689,343.7315
-690,17,-672.0,7,0.500619,0.084650,0.011546,343.7315
-690,17,-672.0,8,0.529836,0.080847,0.012343,343.7315
-690,17,-672.0,9,0.556228,0.076981,0.013092,343.7315
-690,17,-672.0,10,0.578398,0.073024,0.013800,343.7315
-690,17,-672.0,11,0.598163,0.071049,0.014473,343.7315
-690,17,-672.0,12,0.616544,0.069794,0.015117,343.7315
-690,17,-672.0,13,0.634553,0.069485,0.015734,343.7315
-690,17,-672.0,14,0.650667,0.070242,0.016328,343.7315
-690,17,-672.0,15,0.666628,0.071234,0.016901,343.7315
-690,17,-672.0,16,0.682913,0.072731,0.017455,343.7315
-690,17,-672.0,17,0.698632,0.074049,0.017993,343.7315
-690,17,-672.0,18,0.713528,0.074659,0.018514,343.7315
-690,17,-672.0,19,0.727793,0.075321,0.019022,343.7315
-690,17,-672.0,20,0.742092,0.075963,0.019516,343.7315
